"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-02-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-03-31",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-04-02",,,,,
