venue_name,date,time
Great American Ball Park,2018-09-28,22:40:00
Great American Ball Park,2018-09-29,20:10:00
Great American Ball Park,2018-09-30,19:10:00
Great American Ball Park,2019-03-28,20:10:00
Great American Ball Park,2019-03-30,18:10:00
Great American Ball Park,2019-03-31,17:10:00
Great American Ball Park,2019-04-01,22:40:00
Great American Ball Park,2019-04-02,22:40:00
Great American Ball Park,2019-04-03,16:35:00
Great American Ball Park,2019-04-09,22:40:00
Great American Ball Park,2019-04-10,22:40:00
Great American Ball Park,2019-04-11,16:35:00
Great American Ball Park,2019-04-23,22:40:00
Great American Ball Park,2019-04-24,22:40:00
Great American Ball Park,2019-04-25,22:40:00
Great American Ball Park,2019-05-03,23:10:00
Great American Ball Park,2019-05-04,23:10:00
Great American Ball Park,2019-05-05,20:10:00
Great American Ball Park,2019-05-06,16:35:00
Great American Ball Park,2019-05-14,22:40:00
Great American Ball Park,2019-05-15,22:40:00
Great American Ball Park,2019-05-16,22:40:00
Great American Ball Park,2019-05-17,23:10:00
Great American Ball Park,2019-05-18,20:10:00
Great American Ball Park,2019-05-19,17:10:00
Great American Ball Park,2019-05-27,17:10:00
Great American Ball Park,2019-05-27,23:10:00
Great American Ball Park,2019-05-28,22:40:00
Great American Ball Park,2019-05-29,16:35:00
Great American Ball Park,2019-05-31,23:10:00
Great American Ball Park,2019-06-01,20:10:00
Great American Ball Park,2019-06-02,17:10:00
Great American Ball Park,2019-06-14,23:10:00
Great American Ball Park,2019-06-15,23:10:00
Great American Ball Park,2019-06-16,17:10:00
Great American Ball Park,2019-06-17,23:10:00
Great American Ball Park,2019-06-18,23:10:00
Great American Ball Park,2019-06-19,16:35:00
Great American Ball Park,2019-06-28,23:10:00
Great American Ball Park,2019-06-29,20:10:00
Great American Ball Park,2019-06-30,17:10:00
Great American Ball Park,2019-07-01,23:10:00
Great American Ball Park,2019-07-02,23:10:00
Great American Ball Park,2019-07-03,23:10:00
Great American Ball Park,2019-07-04,18:10:00
Great American Ball Park,2019-07-06,20:10:00
Great American Ball Park,2019-07-07,17:10:00
Great American Ball Park,2019-07-18,23:10:00
Great American Ball Park,2019-07-19,23:10:00
Great American Ball Park,2019-07-20,23:10:00
Great American Ball Park,2019-07-21,17:10:00
Great American Ball Park,2019-07-26,22:40:00
Great American Ball Park,2019-07-27,23:10:00
Great American Ball Park,2019-07-28,17:10:00
Great American Ball Park,2019-07-29,23:10:00
Great American Ball Park,2019-07-30,23:10:00
Great American Ball Park,2019-07-31,16:35:00
Great American Ball Park,2019-08-05,23:10:00
Great American Ball Park,2019-08-06,23:10:00
Great American Ball Park,2019-08-08,23:10:00
Great American Ball Park,2019-08-09,23:10:00
Great American Ball Park,2019-08-10,23:10:00
Great American Ball Park,2019-08-11,17:10:00
Great American Ball Park,2019-08-15,23:10:00
Great American Ball Park,2019-08-16,23:10:00
Great American Ball Park,2019-08-17,22:40:00
Great American Ball Park,2019-08-18,17:10:00
Great American Ball Park,2019-08-19,23:10:00
Great American Ball Park,2019-08-20,23:10:00
Great American Ball Park,2019-08-21,16:35:00
Great American Ball Park,2019-09-02,18:10:00
Great American Ball Park,2019-09-03,22:40:00
Great American Ball Park,2019-09-04,22:40:00
Great American Ball Park,2019-09-05,16:35:00
Great American Ball Park,2019-09-06,23:10:00
Great American Ball Park,2019-09-07,20:10:00
Great American Ball Park,2019-09-08,17:10:00
Great American Ball Park,2019-09-20,23:10:00
Great American Ball Park,2019-09-21,20:10:00
Great American Ball Park,2019-09-22,17:10:00
Great American Ball Park,2019-09-24,22:40:00
Great American Ball Park,2019-09-25,22:40:00
Great American Ball Park,2019-09-26,16:35:00
Great American Ball Park,2020-07-24,22:10:00
Great American Ball Park,2020-07-25,21:10:00
Great American Ball Park,2020-07-26,17:10:00
Great American Ball Park,2020-07-27,22:40:00
Great American Ball Park,2020-07-28,22:40:00
Great American Ball Park,2020-07-29,22:40:00
Great American Ball Park,2020-07-30,22:10:00
Great American Ball Park,2020-08-03,22:40:00
Great American Ball Park,2020-08-04,22:10:00
Great American Ball Park,2020-08-11,22:40:00
Great American Ball Park,2020-08-12,22:40:00
Great American Ball Park,2020-08-13,21:10:00
Great American Ball Park,2020-08-14,23:10:00
Great American Ball Park,2020-08-15,22:10:00
Great American Ball Park,2020-08-16,17:10:00
Great American Ball Park,2020-08-28,23:10:00
Great American Ball Park,2020-08-29,20:10:00
Great American Ball Park,2020-08-29,20:15:00
Great American Ball Park,2020-08-30,17:10:00
Great American Ball Park,2020-08-31,22:40:00
Great American Ball Park,2020-09-01,22:40:00
Great American Ball Park,2020-09-02,22:40:00
Great American Ball Park,2020-09-14,20:10:00
Great American Ball Park,2020-09-14,20:15:00
Great American Ball Park,2020-09-15,22:40:00
Great American Ball Park,2020-09-16,22:40:00
Great American Ball Park,2020-09-18,23:10:00
Great American Ball Park,2020-09-19,23:07:00
Great American Ball Park,2020-09-20,17:10:00
Great American Ball Park,2020-09-21,22:40:00
Great American Ball Park,2020-09-22,22:40:00
Great American Ball Park,2020-09-23,22:40:00
Great American Ball Park,2021-04-01,20:10:00
Great American Ball Park,2021-04-03,20:10:00
Great American Ball Park,2021-04-04,17:10:00
Great American Ball Park,2021-04-05,22:40:00
Great American Ball Park,2021-04-06,22:40:00
Great American Ball Park,2021-04-07,16:35:00
Great American Ball Park,2021-04-16,23:10:00
Great American Ball Park,2021-04-17,20:10:00
Great American Ball Park,2021-04-18,17:10:00
Great American Ball Park,2021-04-20,22:40:00
Great American Ball Park,2021-04-21,21:10:00
Great American Ball Park,2021-04-21,22:50:00
Great American Ball Park,2021-04-22,16:35:00
Great American Ball Park,2021-04-30,23:10:00
Great American Ball Park,2021-05-01,20:10:00
Great American Ball Park,2021-05-02,17:10:00
Great American Ball Park,2021-05-04,22:40:00
Great American Ball Park,2021-05-05,16:35:00
Great American Ball Park,2021-05-17,22:40:00
Great American Ball Park,2021-05-18,22:40:00
Great American Ball Park,2021-05-19,22:40:00
Great American Ball Park,2021-05-20,16:35:00
Great American Ball Park,2021-05-21,23:10:00
Great American Ball Park,2021-05-22,20:10:00
Great American Ball Park,2021-05-23,17:10:00
Great American Ball Park,2021-05-31,18:10:00
Great American Ball Park,2021-06-01,23:10:00
Great American Ball Park,2021-06-02,16:35:00
Great American Ball Park,2021-06-08,23:10:00
Great American Ball Park,2021-06-09,23:10:00
Great American Ball Park,2021-06-10,16:35:00
Great American Ball Park,2021-06-11,23:10:00
Great American Ball Park,2021-06-12,20:10:00
Great American Ball Park,2021-06-13,17:10:00
Great American Ball Park,2021-06-24,23:10:00
Great American Ball Park,2021-06-25,23:10:00
Great American Ball Park,2021-06-26,20:10:00
Great American Ball Park,2021-06-27,17:10:00
Great American Ball Park,2021-06-28,22:40:00
Great American Ball Park,2021-06-29,23:10:00
Great American Ball Park,2021-06-30,23:10:00
Great American Ball Park,2021-07-01,23:10:00
Great American Ball Park,2021-07-02,23:10:00
Great American Ball Park,2021-07-03,20:10:00
Great American Ball Park,2021-07-04,17:10:00
Great American Ball Park,2021-07-16,23:10:00
Great American Ball Park,2021-07-17,23:10:00
Great American Ball Park,2021-07-18,17:10:00
Great American Ball Park,2021-07-19,23:10:00
Great American Ball Park,2021-07-20,23:10:00
Great American Ball Park,2021-07-21,16:35:00
Great American Ball Park,2021-07-23,23:10:00
Great American Ball Park,2021-07-24,23:10:00
Great American Ball Park,2021-07-25,17:10:00
Great American Ball Park,2021-08-03,23:10:00
Great American Ball Park,2021-08-04,16:35:00
Great American Ball Park,2021-08-05,23:10:00
Great American Ball Park,2021-08-06,23:10:00
Great American Ball Park,2021-08-07,23:10:00
Great American Ball Park,2021-08-08,17:10:00
Great American Ball Park,2021-08-16,23:10:00
Great American Ball Park,2021-08-17,23:10:00
Great American Ball Park,2021-08-18,16:35:00
Great American Ball Park,2021-08-19,23:10:00
Great American Ball Park,2021-08-20,23:10:00
Great American Ball Park,2021-08-21,22:40:00
Great American Ball Park,2021-08-22,17:10:00
Great American Ball Park,2021-08-30,22:40:00
Great American Ball Park,2021-08-31,22:40:00
Great American Ball Park,2021-09-01,17:10:00
Great American Ball Park,2021-09-01,22:40:00
Great American Ball Park,2021-09-03,23:10:00
Great American Ball Park,2021-09-04,23:10:00
Great American Ball Park,2021-09-05,17:10:00
Great American Ball Park,2021-09-17,23:10:00
Great American Ball Park,2021-09-18,18:10:00
Great American Ball Park,2021-09-19,17:10:00
